WP1Hydro,WP1Deficit2,WP1Flood,WP1Recovery
-30.06651849,196.592627,0.193678476,13.375
-32.16649064,146.925632,0.099620094,14.5
-36.43367396,145.7348941,0.493157368,14.8
-33.24086617,146.8182217,0.293596672,13.33333333
-36.30239456,2348.316376,0.183486389,16
-36.03010592,141.2379059,0.771789928,13.33333333
-35.20698231,146.8836044,0.655987569,12.8
-34.72133978,147.3717008,0.325145454,14.66666667
-34.50991505,146.5079248,0.0109474,17
-35.16343991,134.845422,0.237812171,16
-36.2210231,191.9100868,0.292422315,16
-34.47301549,138.3677925,0,15.71428571
-42.0003401,147.9454004,1.770558587,19.33333333
-40.58049874,165.7022253,0.364494012,25
-39.02934312,169.980435,0.079119674,26
-37.62910372,147.7807843,0.597263137,14.6
-36.5083394,142.7048815,0.274046037,17
-39.07833208,148.2505145,0.591261481,15.66666667
-37.53655848,149.2017194,0.330419866,15.66666667
-39.06558676,149.3031661,0.487811239,17.33333333
-40.52745499,99.39122567,0.889977584,20
-40.59564332,94.01496148,0.536367285,22
-40.70956315,95.2615057,0.495689241,25.33333333
-36.21212086,200.7767052,0.365461626,14.33333333
-33.7229456,232.183816,0.855221252,10.33333333
-35.79083676,245.9623285,1.049979574,10.14285714
-36.23700775,290.3043237,1.064680824,11.71428571
-36.76366017,183.7377584,0.528472514,13.2
-35.40459115,198.5983247,0.480003033,13.33333333
-40.52974354,101.8780508,0.487930171,23
-40.50716456,143.0227148,1.355541011,15.5
-39.84444864,98.95355217,1.749966529,13.8
-36.65829275,424.3198146,1.429690345,10
-34.54963301,235.9946624,0.594966518,11.75
-35.90739991,188.9875683,1.016853839,11.8
-40.27857406,95.70452711,0.477356077,22.75
-36.01206766,202.2617521,0.429053949,13.33333333
-40.91402728,76.47251291,1.592060001,17.25
-37.81773796,182.5071113,0.720666134,13
-36.05760289,327.679377,0.842443139,11.85714286
-34.50540923,202.329112,0.195349391,14
-34.6832358,171.8809372,0.176313832,15
-33.84944772,173.266166,0.047332648,13.8
-34.76299716,299.0218918,0.099469898,15.2
-34.76985158,167.9442372,0.278466141,14.33333333
-38.0622447,175.1841146,0.068720596,22
-38.02405725,148.0124416,0.024951898,23
-39.05925392,255.3652696,0.093950802,25
-40.55103067,130.1477881,0.957959408,19
-37.67784791,130.9339934,0.110964416,19
-40.62162004,169.8438656,0.892703107,19
-40.87539769,140.571181,1.251588654,17.33333333
-40.6927386,312.1519307,0.517676761,19.25
-39.02759706,144.9111461,0.146903948,23.66666667
-39.1081696,147.5876865,0.297436051,22.33333333
-40.7223772,204.9033125,0.484397767,19.66666667
-40.75384602,269.8890717,0.386875749,21
-40.53516179,193.9735316,0.485019479,21
-40.69101176,210.689975,0.237203781,33.5
-40.69619256,119.4861738,0.54809256,20.5
-41.04450154,90.63833693,1.095776353,19
-40.31337166,96.51807236,0.542618844,20.5
-39.08287749,199.7466631,0.298419503,20.5
-40.76528754,346.6099209,1.220385369,16.33333333
-40.56145014,247.8693707,1.12885694,17.25
-42.02704806,95.29447877,1.904097906,19.25
-42.07423819,114.3571989,1.982680394,17
-42.01225842,74.89003556,1.796200606,20.33333333
-30.44753557,191.0868969,0.814854512,11.2
-39.07156559,99.8080494,0.239630178,39
-39.85014097,95.75184656,0.389008632,35
-34.78942253,181.959055,1.875260463,8.818181818
-32.98705843,449.3753709,0.057695214,13.16666667
-34.20152494,608.6604627,0.492898842,11
-32.20759151,375.8561839,0.287676897,11.75
-34.75578174,377.0937499,0.086279479,14.33333333
-32.47532042,313.8277253,0.349100749,11.83333333
-33.19217151,469.3432932,0.037989359,13.42857143
-34.72401457,481.5308154,0.250388529,13.2
-33.523963,447.3194051,0.178296599,13.16666667
-42.01656832,97.91030485,1.510100191,24.5
-30.57878581,1862.643045,1.784985953,8.9
-39.66131126,143.7900994,1.532388295,10.33333333
-39.17790927,141.6802012,0.771399994,14.75
-40.51182542,136.1789961,1.597306175,13.25
-39.59166379,145.6034736,0.869047102,13.42857143
-39.64272313,144.2302718,1.147700842,11.75
-36.93521668,91.85239311,0.175637824,25
-39.81898803,96.86098583,1.995292764,13.16666667
-36.91428874,202.524792,1.988545607,8.875
-37.91427133,648.6923368,2.091957725,8.833333333
-40.57911344,91.45167636,2.096049214,13.25
-39.18438618,95.76825809,1.370819623,15.8
-37.67338831,655.9632705,1.999732888,8.8
-36.03126628,168.9783709,0.022221507,19
-39.24216095,95.76083761,1.15003049,16.83333333
-37.07477288,168.8914968,2.09471274,8.428571429
-40.58195008,80.21806898,1.802997188,15.75
-37.57041524,96.80228006,0.222945271,23.33333333
-37.50674711,309.5786341,2.138688277,8.777777778
-40.17899913,98.48073625,0.940928288,19
-38.05276029,94.48232939,1.072410154,17.5
-36.85523853,141.2543586,0.091436683,20
-42.17420161,297.8550244,1.043637126,25
-42.08708986,102.8509974,1.337861496,26
-39.05931458,138.1441996,0.343577625,20.66666667
-42.02464624,166.7291971,1.537127603,22
-42.19584032,95.12092581,1.22959466,27
-32.02127348,290.1263889,0.197784288,13
-37.63446295,193.0375365,0.17190078,17.4
-4.25E+01,2.40E+02,1.90E+00,2.07E+01
-2.92E+01,1.16E+02,2.73E-02,1.90E+01
-4.05E+01,6.72E+01,7.14E-01,2.30E+01
-3.66E+01,2.52E+03,1.26E+00,1.08E+01
-3.78E+01,6.69E+02,2.09E+00,8.17E+00
-3.91E+01,9.98E+01,2.40E-01,3.90E+01
-3.51E+01,3.11E+02,0.00E+00,1.63E+01
-3.97E+01,1.48E+02,2.14E+00,9.83E+00
